date,high,low,open,close,volume,quoteVolume,weightedAverage
1566332400,10689.48454564,10678.2,10682.58161374,10689.48454564,739.44642997,0.06923258,10680.61351999
1566332700,10673.73118315,10655.98717723,10673.73118315,10672.98807733,21459.96153521,2.01330939,10659.04805381
1566333000,10674.08246721,10661.70279977,10671.46781055,10665,15494.27288849,1.45176359,10672.72453671
1566333300,10682.06962996,10666.48079983,10666.48079983,10682.06962996,11744.23421997,1.10037789,10672.91003091
1566333600,10682.09033058,10669.30000002,10676.97066994,10682.09033058,13741.67982036,1.2877133,10671.38144831
1566333900,10690.4,10682,10690.4,10682,31989.4629698,2.99284971,10688.62992448
1566334200,10698.68112136,10689.62575144,10697.17541455,10689.62575144,1933.27987433,0.1807342,10696.81263608
1566334500,10705,10680.12497003,10689.52575143,10705,3963.20103583,0.37060531,10693.85928613
1566334800,10713.28571426,10697.98399003,10697.98399003,10708.13958267,3074.11350689,0.28700653,10710.95318595
1566335100,10698.2839901,10691.532136,10696.19309142,10691.532136,39838.55041684,3.72533485,10693.95155628
1566335400,10709.94624484,10691.532136,10691.532136,10709.94624484,15186.87819209,1.41996681,10695.23462459
1566335700,10745.79273915,10709.94624484,10709.94624484,10741.05253807,13515.07488585,1.2597149,10728.67748556
1566336000,10780,10740.00473981,10740.00473981,10780,94184.72789257,8.7505523,10763.28952317
1566336300,10783.15568586,10765.90026757,10780,10766.71341595,9048.34997607,0.8394773,10778.55229208
1566336600,10781.42412258,10773.2338742,10781.42412258,10780.769118,440.0580826,0.04082016,10780.41052755
1566336900,10792.10170475,10780.869118,10780.869118,10791.70965865,15758.4382919,1.46053266,10789.51448569
1566337200,10815.09557626,10790,10791.10965858,10809.03190363,37712.73077178,3.48992127,10806.1838231
1566337500,10817.93318742,10811.99999996,10811.99999996,10817.84313516,13985.3293386,1.29291365,10816.90903224
1566337800,10820,10760.86057073,10818.3170945,10760.86057073,9683.36754048,0.89505369,10818.75606868
1566338100,10795.51843798,10774.37008967,10784.65146275,10795.51843798,3672.19364335,0.34033334,10789.99090526
1566338400,10800,10780.29602424,10795.51843798,10781.28665161,7545.05390393,0.69888167,10795.89611204
